,re_type,adv_bed,adv_bath,adv_park,pool,elevator,bbq,balcony,leisure,adv_size,district,adv_sale,district_num,am_worship,region,area_worship,density_worship,am_pharma,area_pharma,density_pharma,am_tourism,area_tourism,density_tourism,am_leisure,area_leisure,density_leisure,am_clinic,area_clinic,density_clinic,am_fast_food,area_fast_food,density_fast_food,am_police,area_police,density_police,am_restaurant,area_restaurant,density_restaurant,am_shop_mall,area_shop_mall,density_shop_mall,am_shop_supermarket,area_shop_supermarket,density_shop_supermarket,am_school,area_school,density_school,am_hospital,area_hospital,density_hospital
0,apartment,3.0,2.0,2.0,0,0,1,0,1,113.0,Nova Descoberta,150000.0,20,0,Sul,1.295938006785725,0.0,4,1.295938006785725,3.086567396785497,0,1.295938006785725,0.0,9,1.295938006785725,6.944776642767367,0,1.295938006785725,0.0,0,1.295938006785725,0.0,1,1.295938006785725,0.7716418491963742,3,1.295938006785725,2.3149255475891226,0,1.295938006785725,0.0,1,1.295938006785725,0.7716418491963742,0,1.295938006785725,0.0,0,1.295938006785725,0.0
1,apartment,2.0,2.0,1.0,0,1,0,0,0,75.0,Nova Descoberta,280000.0,20,0,Sul,1.295938006785725,0.0,4,1.295938006785725,3.086567396785497,0,1.295938006785725,0.0,9,1.295938006785725,6.944776642767367,0,1.295938006785725,0.0,0,1.295938006785725,0.0,1,1.295938006785725,0.7716418491963742,3,1.295938006785725,2.3149255475891226,0,1.295938006785725,0.0,1,1.295938006785725,0.7716418491963742,0,1.295938006785725,0.0,0,1.295938006785725,0.0
2,apartment,3.0,2.0,1.0,0,0,0,0,1,70.0,Nova Descoberta,123000.0,20,0,Sul,1.295938006785725,0.0,4,1.295938006785725,3.086567396785497,0,1.295938006785725,0.0,9,1.295938006785725,6.944776642767367,0,1.295938006785725,0.0,0,1.295938006785725,0.0,1,1.295938006785725,0.7716418491963742,3,1.295938006785725,2.3149255475891226,0,1.295938006785725,0.0,1,1.295938006785725,0.7716418491963742,0,1.295938006785725,0.0,0,1.295938006785725,0.0
3,apartment,3.0,1.0,1.0,0,0,0,0,1,68.0,Nova Descoberta,120000.0,20,0,Sul,1.295938006785725,0.0,4,1.295938006785725,3.086567396785497,0,1.295938006785725,0.0,9,1.295938006785725,6.944776642767367,0,1.295938006785725,0.0,0,1.295938006785725,0.0,1,1.295938006785725,0.7716418491963742,3,1.295938006785725,2.3149255475891226,0,1.295938006785725,0.0,1,1.295938006785725,0.7716418491963742,0,1.295938006785725,0.0,0,1.295938006785725,0.0
4,apartment,2.0,2.0,1.0,0,0,0,0,0,85.0,Nova Descoberta,150000.0,20,0,Sul,1.295938006785725,0.0,4,1.295938006785725,3.086567396785497,0,1.295938006785725,0.0,9,1.295938006785725,6.944776642767367,0,1.295938006785725,0.0,0,1.295938006785725,0.0,1,1.295938006785725,0.7716418491963742,3,1.295938006785725,2.3149255475891226,0,1.295938006785725,0.0,1,1.295938006785725,0.7716418491963742,0,1.295938006785725,0.0,0,1.295938006785725,0.0
5,apartment,3.0,2.0,1.0,0,0,0,0,1,72.0,Nova Descoberta,125000.0,20,0,Sul,1.295938006785725,0.0,4,1.295938006785725,3.086567396785497,0,1.295938006785725,0.0,9,1.295938006785725,6.944776642767367,0,1.295938006785725,0.0,0,1.295938006785725,0.0,1,1.295938006785725,0.7716418491963742,3,1.295938006785725,2.3149255475891226,0,1.295938006785725,0.0,1,1.295938006785725,0.7716418491963742,0,1.295938006785725,0.0,0,1.295938006785725,0.0
6,apartment,3.0,1.0,1.0,0,0,1,0,1,68.0,Nova Descoberta,115000.0,20,0,Sul,1.295938006785725,0.0,4,1.295938006785725,3.086567396785497,0,1.295938006785725,0.0,9,1.295938006785725,6.944776642767367,0,1.295938006785725,0.0,0,1.295938006785725,0.0,1,1.295938006785725,0.7716418491963742,3,1.295938006785725,2.3149255475891226,0,1.295938006785725,0.0,1,1.295938006785725,0.7716418491963742,0,1.295938006785725,0.0,0,1.295938006785725,0.0
7,apartment,3.0,2.0,2.0,0,0,1,1,1,70.0,Nova Descoberta,120000.0,20,0,Sul,1.295938006785725,0.0,4,1.295938006785725,3.086567396785497,0,1.295938006785725,0.0,9,1.295938006785725,6.944776642767367,0,1.295938006785725,0.0,0,1.295938006785725,0.0,1,1.295938006785725,0.7716418491963742,3,1.295938006785725,2.3149255475891226,0,1.295938006785725,0.0,1,1.295938006785725,0.7716418491963742,0,1.295938006785725,0.0,0,1.295938006785725,0.0
8,apartment,2.0,1.0,1.0,1,1,0,0,0,75.0,Nova Descoberta,295000.0,20,0,Sul,1.295938006785725,0.0,4,1.295938006785725,3.086567396785497,0,1.295938006785725,0.0,9,1.295938006785725,6.944776642767367,0,1.295938006785725,0.0,0,1.295938006785725,0.0,1,1.295938006785725,0.7716418491963742,3,1.295938006785725,2.3149255475891226,0,1.295938006785725,0.0,1,1.295938006785725,0.7716418491963742,0,1.295938006785725,0.0,0,1.295938006785725,0.0
9,apartment,2.0,1.0,1.0,1,1,0,0,0,75.0,Nova Descoberta,299000.0,20,0,Sul,1.295938006785725,0.0,4,1.295938006785725,3.086567396785497,0,1.295938006785725,0.0,9,1.295938006785725,6.944776642767367,0,1.295938006785725,0.0,0,1.295938006785725,0.0,1,1.295938006785725,0.7716418491963742,3,1.295938006785725,2.3149255475891226,0,1.295938006785725,0.0,1,1.295938006785725,0.7716418491963742,0,1.295938006785725,0.0,0,1.295938006785725,0.0
