,tag,bairro,count,REG_ADM,area,density
72,amenity_hospital,Barro Vermelho,0,Leste,0.773459952408173,0.0
73,amenity_hospital,Bom Pastor,0,Oeste,2.8237542657802215,0.0
74,amenity_hospital,Candelária,1,Sul,6.213090490268191,0.16095049662745772
75,amenity_hospital,Capim Macio,1,Sul,3.536322749587128,0.2827796190595872
76,amenity_hospital,Cidade Alta,1,Leste,0.9498325820890022,1.052817116255017
77,amenity_hospital,Cidade Nova,0,Oeste,2.138739680894446,0.0
78,amenity_hospital,Cidade da Esperança,1,Oeste,1.4921251057655043,0.6701850911401765
79,amenity_hospital,Dix-Sept Rosado,0,Oeste,0.8945426611849765,0.0
80,amenity_hospital,Felipe Camarão,0,Oeste,5.422818204774316,0.0
81,amenity_hospital,Guarapes,0,Oeste,6.981796408221646,0.0
82,amenity_hospital,Igapó,0,Norte,1.7961583449065368,0.0
83,amenity_hospital,Lagoa Azul,0,Norte,9.523752054212096,0.0
84,amenity_hospital,Lagoa Nova,5,Sul,6.264427860715066,0.7981574871913786
85,amenity_hospital,Lagoa Seca,2,Leste,0.49847829810883376,4.012210777455624
86,amenity_hospital,Mãe Luiza,0,Leste,0.7808093519276514,0.0
87,amenity_hospital,N. S. Apresentação,1,Norte,8.359996458807668,0.11961727554877738
88,amenity_hospital,N. Sra. do Nazaré,1,Oeste,1.174982498465845,0.8510765065059975
89,amenity_hospital,Neópolis,2,Sul,2.6287055158952892,0.7608307541131463
90,amenity_hospital,Nova Descoberta,0,Sul,1.2959380067857247,0.0
91,amenity_hospital,Pajuçara,2,Norte,6.250138148913146,0.31999292693198883
92,amenity_hospital,Parque das Dunas,0,Sul,9.824446055169469,0.0
93,amenity_hospital,Petropólis,6,Leste,0.6399234277218987,9.37612179844666
94,amenity_hospital,Pitimbu,2,Sul,6.075760421672488,0.3291769031685182
95,amenity_hospital,Planalto,0,Oeste,3.7847053271180475,0.0
96,amenity_hospital,Ponta Negra,0,Sul,11.27862552667373,0.0
97,amenity_hospital,Potengi,4,Norte,6.52548282021391,0.6129814620933868
98,amenity_hospital,Praia do Meio,1,Leste,0.39912132497084085,2.505503809081257
99,amenity_hospital,Quintas,2,Oeste,2.027817307910962,0.986282142970947
100,amenity_hospital,Redinha,0,Norte,7.170319431390413,0.0
101,amenity_hospital,Ribeira,3,Leste,0.7701308835145091,3.895441754405997
102,amenity_hospital,Rocas,1,Leste,0.5386164473659117,1.8566087331541234
103,amenity_hospital,Santos Reis,0,Leste,1.8120202788320696,0.0
104,amenity_hospital,Tirol,11,Leste,2.9377194954885093,3.7444010624202995
105,amenity_pharmacy,Alecrim,7,Leste,2.8126630564480646,2.488744602362666
106,amenity_pharmacy,Areia Preta,1,Leste,0.2624931585903798,3.809623097874709
107,amenity_pharmacy,Barro Vermelho,1,Leste,0.773459952408173,1.2928917610879438
108,amenity_pharmacy,Bom Pastor,0,Oeste,2.8237542657802215,0.0
109,amenity_pharmacy,Candelária,6,Sul,6.213090490268191,0.9657029797647463
110,amenity_pharmacy,Capim Macio,12,Sul,3.536322749587128,3.3933554287150463
111,amenity_pharmacy,Cidade Alta,6,Leste,0.9498325820890022,6.316902697530102
112,amenity_pharmacy,Cidade Nova,0,Oeste,2.138739680894446,0.0
113,amenity_pharmacy,Cidade da Esperança,0,Oeste,1.4921251057655043,0.0
114,amenity_pharmacy,Dix-Sept Rosado,0,Oeste,0.8945426611849765,0.0
115,amenity_pharmacy,Felipe Camarão,0,Oeste,5.422818204774316,0.0
116,amenity_pharmacy,Guarapes,0,Oeste,6.981796408221646,0.0
117,amenity_pharmacy,Igapó,1,Norte,1.7961583449065368,0.5567437875595734
118,amenity_pharmacy,Lagoa Azul,0,Norte,9.523752054212096,0.0
119,amenity_pharmacy,Lagoa Nova,24,Sul,6.264427860715066,3.831155938518617
120,amenity_pharmacy,Lagoa Seca,5,Leste,0.49847829810883376,10.030526943639059
121,amenity_pharmacy,Mãe Luiza,0,Leste,0.7808093519276514,0.0
122,amenity_pharmacy,N. S. Apresentação,0,Norte,8.359996458807668,0.0
123,amenity_pharmacy,N. Sra. do Nazaré,1,Oeste,1.174982498465845,0.8510765065059975
124,amenity_pharmacy,Neópolis,7,Sul,2.6287055158952892,2.662907639396012
125,amenity_pharmacy,Nova Descoberta,4,Sul,1.2959380067857247,3.086567396785497
126,amenity_pharmacy,Pajuçara,0,Norte,6.250138148913146,0.0
127,amenity_pharmacy,Parque das Dunas,0,Sul,9.824446055169469,0.0
128,amenity_pharmacy,Petropólis,3,Leste,0.6399234277218987,4.68806089922333
129,amenity_pharmacy,Pitimbu,3,Sul,6.075760421672488,0.49376535475277733
130,amenity_pharmacy,Planalto,0,Oeste,3.7847053271180475,0.0
131,amenity_pharmacy,Ponta Negra,2,Sul,11.27862552667373,0.1773265718655202
132,amenity_pharmacy,Potengi,0,Norte,6.52548282021391,0.0
133,amenity_pharmacy,Praia do Meio,0,Leste,0.39912132497084085,0.0
