re_type,adv_bed,adv_bath,adv_park,pool,balcony,leisure,secondfloor,adv_size,district,adv_sale
house,3.0,3.0,2.0,False,True,True,False,78.0,Candelaria,320000
house,4.0,3.0,2.0,False,False,False,False,260.0,de Nazare,420000
house,5.0,3.0,13.0,False,True,True,False,412.0,Candelaria,1400000
house,4.0,3.0,4.0,False,False,True,False,280.0,Barro Vermelho,380000
house,6.0,6.0,6.0,False,False,False,False,260.0,Ponta Negra,280000
house,5.0,5.0,10.0,True,True,True,False,900.0,Capim Macio,1500000
house,4.0,3.0,3.0,False,False,True,False,280.0,Neopolis,390000
house,5.0,4.0,4.0,True,True,True,False,266.0,Capim Macio,530000
house,3.0,1.0,1.0,False,False,False,False,140.0,Tirol,359900
house,3.0,2.0,1.0,False,False,False,False,200.0,Cidade Alta,380000
house,3.0,3.0,2.0,False,True,False,False,420.0,Capim Macio,520000
house,4.0,5.0,4.0,False,False,True,False,450.0,Candelaria,650000
house,4.0,5.0,4.0,True,False,True,False,209.0,Capim Macio,550000
house,4.0,3.0,4.0,False,False,False,False,291.0,Ponta Negra,669000
house,5.0,6.0,4.0,True,False,True,False,600.0,Capim Macio,900000
house,3.0,4.0,2.0,True,False,True,False,500.0,Tirol,1100000
house,4.0,4.0,2.0,False,False,True,False,240.0,Capim Macio,380000
house,3.0,5.0,7.0,True,False,True,False,390.0,Candelaria,1000000
house,5.0,6.0,10.0,False,False,False,False,750.0,Candelaria,1250000
house,3.0,4.0,5.0,True,False,True,False,300.0,Ponta Negra,580000
house,4.0,6.0,2.0,True,True,True,False,397.0,Ponta Negra,1200000
house,5.0,5.0,3.0,False,True,True,False,220.0,Capim Macio,510000
house,4.0,3.0,5.0,False,False,True,False,260.0,Pitimbu,270000
house,6.0,4.0,2.0,False,False,True,False,200.0,Lagoa Nova,500000
house,2.0,2.0,4.0,False,False,True,False,150.0,Planalto,150000
house,4.0,3.0,2.0,False,True,True,False,148.0,Lagoa Nova,340000
house,3.0,4.0,2.0,True,False,True,False,200.0,Ponta Negra,390000
house,4.0,3.0,6.0,False,False,True,False,250.0,Lagoa Nova,450000
house,3.0,2.0,2.0,False,False,True,False,130.0,Cidade da Esperanca,140000
house,4.0,4.0,3.0,False,True,True,False,200.0,Pitimbu,282000
house,5.0,5.0,4.0,False,False,False,False,400.0,Capim Macio,750000
house,3.0,5.0,4.0,False,False,True,False,300.0,Lagoa Nova,360000
house,3.0,2.0,4.0,False,False,True,False,120.0,Ponta Negra,300000
house,3.0,3.0,1.0,False,False,False,False,131.0,Candelaria,349000
house,4.0,2.0,4.0,False,True,True,False,900.0,Redinha,270000
house,3.0,3.0,6.0,False,False,False,False,300.0,Lagoa Nova,650000
house,3.0,3.0,1.0,True,False,True,False,180.0,Ponta Negra,490000
house,4.0,5.0,4.0,True,True,True,False,600.0,Ponta Negra,1500000
house,3.0,4.0,3.0,False,False,False,False,150.0,San Vale,430000
house,8.0,6.0,10.0,False,True,True,False,400.0,Lagoa Nova,2000000
house,6.0,7.0,6.0,False,False,False,False,490.0,Potengi,600000
house,4.0,2.0,4.0,False,False,True,False,182.0,Ponta Negra,530000
house,5.0,3.0,3.0,False,False,True,False,250.0,Ponta Negra,300000
house,3.0,3.0,1.0,False,False,True,False,121.0,Lagoa Nova,260000
house,8.0,10.0,3.0,True,True,True,False,704.0,Ponta Negra,845000
house,3.0,3.0,2.0,False,False,True,False,240.0,Candelaria,310000
house,2.0,1.0,1.0,False,False,False,False,60.0,Ponta Negra,50000
house,2.0,2.0,2.0,False,False,False,False,90.0,Planalto,135000
house,4.0,5.0,1.0,True,True,True,False,330.0,Capim Macio,650000
house,4.0,2.0,1.0,False,False,True,False,120.0,Candelaria,199999
house,3.0,5.0,3.0,True,True,True,False,322.0,Ponta Negra,740000
house,5.0,4.0,8.0,True,True,True,False,500.0,Candelaria,1100000
house,3.0,2.0,5.0,True,False,True,False,126.0,Lagoa Nova,360000
house,4.0,4.0,6.0,True,True,True,False,500.0,Candelaria,1100000
house,4.0,3.0,1.0,False,False,True,False,270.0,Petropolis,430000
house,3.0,3.0,2.0,False,False,False,False,300.0,Petropolis,320000
house,4.0,3.0,2.0,True,True,True,False,320.0,Candelaria,550000
house,4.0,5.0,4.0,True,True,True,False,376.0,Ponta Negra,1500000
house,3.0,5.0,2.0,False,True,True,False,220.0,Ponta Negra,525000
house,3.0,3.0,4.0,False,False,True,False,500.0,Ponta Negra,550000
house,4.0,6.0,6.0,False,False,True,False,400.0,Lagoa Nova,735000
house,4.0,3.0,4.0,False,False,True,False,223.0,Pitimbu,305000
house,5.0,4.0,2.0,True,False,True,False,275.0,Capim Macio,600000
house,3.0,3.0,2.0,False,False,True,False,170.0,Pitimbu,310000
house,3.0,4.0,2.0,False,False,True,False,249.0,Pitimbu,329900
house,5.0,5.0,3.0,False,False,True,False,240.0,Cidade Alta,280000
house,4.0,4.0,2.0,False,True,True,False,518.0,Ponta Negra,350000
house,2.0,2.0,3.0,False,False,True,False,100.0,Ponta Negra,390000
house,4.0,4.0,4.0,False,False,True,False,200.0,Lagoa Nova,350000
house,3.0,4.0,4.0,False,False,False,False,180.0,Lagoa Nova,370000
house,4.0,4.0,2.0,True,False,True,False,200.0,Ponta Negra,365000
house,3.0,1.0,1.0,False,False,False,False,109.0,Pajucara,200000
house,4.0,4.0,4.0,False,False,False,False,300.0,Lagoa Nova,670000
house,4.0,6.0,5.0,False,False,False,False,369.0,Lagoa Nova,570000
house,3.0,3.0,5.0,False,False,True,False,150.0,Ponta Negra,320000
house,3.0,3.0,1.0,False,False,True,False,171.0,Neopolis,210000
house,2.0,2.0,1.0,True,False,True,False,64.0,Planalto,165000
house,2.0,1.0,1.0,False,False,True,False,120.0,Nossa Senhora da Apresentacao,95000
house,3.0,1.0,2.0,False,False,True,False,120.0,Pitimbu,259900
house,3.0,2.0,1.0,False,False,True,False,283.0,Nossa Senhora da Apresentacao,90000
house,3.0,3.0,2.0,True,False,False,False,200.0,Barro Vermelho,450000
house,3.0,3.0,3.0,True,False,True,False,200.0,Ponta Negra,575000
house,3.0,2.0,1.0,True,False,True,False,102.0,Planalto,220000
house,2.0,2.0,1.0,True,False,True,False,62.0,Igapo,122000
house,3.0,1.0,1.0,False,False,False,False,150.0,Cidade Alta,200000
house,6.0,6.0,6.0,False,False,True,False,500.0,Lagoa Nova,950000
house,2.0,2.0,2.0,False,False,True,False,72.0,Cidade Jardim,110000
house,4.0,3.0,1.0,False,False,False,False,100.0,Ponta Negra,750000
house,4.0,2.0,2.0,False,True,True,False,188.0,Lagoa Nova,470000
house,4.0,6.0,4.0,False,False,False,False,316.0,Candelaria,650000
house,4.0,4.0,4.0,False,False,True,False,350.0,Nova Descoberta,600000
house,5.0,5.0,20.0,False,False,True,False,350.0,Pajucara,300000
house,5.0,4.0,1.0,False,False,False,False,200.0,Cidade Alta,480000
house,4.0,4.0,3.0,False,False,True,False,180.0,Candelaria,300000
house,3.0,2.0,2.0,False,False,True,False,200.0,Alecrim,350000
house,6.0,8.0,3.0,False,False,True,False,300.0,Neopolis,480000
house,4.0,5.0,4.0,False,True,True,False,268.0,Ponta Negra,650000
house,4.0,3.0,2.0,False,True,True,False,250.0,Capim Macio,550000
house,5.0,5.0,6.0,True,True,True,False,500.0,Candelaria,1100000
house,2.0,2.0,1.0,True,False,True,False,61.0,Planalto,169900
house,7.0,4.0,2.0,False,False,False,False,350.0,Candelaria,500000
house,4.0,5.0,4.0,True,False,True,False,262.0,Ponta Negra,680000
house,2.0,3.0,7.0,False,True,True,False,164.0,Ponta Negra,290000
house,5.0,4.0,4.0,False,False,True,False,169.0,Lagoa Nova,420000
house,4.0,3.0,3.0,False,False,True,False,280.0,Alecrim,450000
house,4.0,5.0,4.0,False,True,False,False,263.0,Capim Macio,590000
house,3.0,5.0,2.0,False,False,False,False,230.0,Lagoa Nova,380000
house,3.0,2.0,1.0,False,False,True,False,170.0,Capim Macio,294000
house,4.0,4.0,3.0,False,False,True,False,240.0,Lagoa Nova,380000
house,4.0,3.0,2.0,False,False,False,False,280.0,Lagoa Seca,250000
house,7.0,2.0,5.0,False,False,True,False,250.0,Redinha,135000
house,3.0,3.0,2.0,False,False,True,False,100.0,Cidade Alta,160000
house,5.0,6.0,1.0,True,False,True,False,500.0,Ponta Negra,5200000
house,4.0,5.0,6.0,False,False,True,False,308.0,Lagoa Nova,580000
house,3.0,3.0,4.0,False,False,False,False,200.0,Candelaria,244000
house,4.0,5.0,5.0,False,False,False,False,300.0,Lagoa Nova,700000
house,4.0,1.0,2.0,False,False,True,False,190.0,Candelaria,300000
house,2.0,2.0,3.0,False,False,False,False,120.0,Pitimbu,180000
