adv_address,adv_sale,adv_condofee,adv_bed,adv_bath,adv_park,adv_size,features,district,re_type
Rua Pastor Eustï¿½quio Lopes da Silva - Capim Macio  Natal - RN,R$ 420000,R$ 650,3,4,2,95, TV a cabo / Conexï¿½o ï¿½ internet / Garagem / Cozinha / Mobiliado / Interfone / Elevador / Churrasqueira / Playground / Piscina / Salao de jogos / Recepï¿½ï¿½o / Varanda gourmet / Espaco verde / Parque / Area de servico ,Capim Macio,apartment
Avenida Ayrton Senna - Neopolis  Natal - RN,R$ 118000,NotFound,2,2,2,80, Perto de vias de acesso / Proximo a shopping / Proximo a transporte pï¿½blico / Proximo a escola / Proximo a hospitais / Depï¿½sito / Mobiliado / Conexï¿½o ï¿½ internet / Garagem / Cozinha / Vigia ,Neopolis,apartment
Avenida dos Caiapï¿½s - Pitimbu  Natal - RN,R$ 145000,R$ 290,2,1,1,51,NotFound,Pitimbu,apartment
Rua Vereador Orlando Garcia  1420 - Lagoa Nova  Natal - RN,R$ 260000,R$ 520,3,2,1,105, Perto de vias de acesso / Proximo a shopping / Proximo a transporte pï¿½blico / Proximo a escola / Proximo a hospitais / Elevador / Jardim / Ar-condicionado / Garagem / Cozinha / Area de servico / Condomï¿½nio fechado / Seguranï¿½a 24h ,Lagoa Nova,apartment
Avenida Almirante Alexandrino de Alencar - Tirol  Natal - RN,R$ 525000,R$ 539,3,3,2,173,NotFound,Tirol,apartment
Rua da Lagosta  466 - Ponta Negra  Natal - RN,R$ 330000,NotFound,3,3,2,93, Perto de vias de acesso / Proximo a shopping / Proximo a transporte pï¿½blico / Proximo a escola / Churrasqueira / Elevador / Jardim / Espaco gourmet / Academia / Salao de festas / Playground / Piscina / Quadra poliesportiva / Quadra de tï¿½nis / Espaco verde / Parque / Piscina para adulto / Piscina infantil / Salao de jogos / Salao de jogos / Sauna / Serviï¿½os pï¿½blicos essenciais / Vista para o mar / Mais de um andar / Sistema de alarme / Cozinha / Area de servico / Garagem / Conexï¿½o ï¿½ internet / TV a cabo / Mobiliado / Condomï¿½nio fechado / Interfone / Seguranï¿½a 24h / Circuito de Seguranca ,Ponta Negra,apartment
Rua Golfo de Oman - Ponta De Campina  Cabedelo - PB,R$ 197167,NotFound,2,1,1,45,NotFound,,apartment
Rua Pedro Afonso  43 - Praia do Meio  Natal - RN,R$ 125000,R$ 400,2,2,1,100, Perto de vias de acesso / Proximo a transporte pï¿½blico / Proximo a escola / Proximo a hospitais / Churrasqueira / Jardim / Cozinha / Area de servico ,Praia do Meio,apartment
Rua Jaguarari  4985 - Candelï¿½ria  Natal - RN,R$ 630000,R$ 550,3,5,2,123, Perto de vias de acesso / Proximo a shopping / Proximo a escola / Elevador / Jardim / Academia / Salao de festas / Playground / Piscina / Quadra poliesportiva / Cinema / Gerador elï¿½trico / Sistema de alarme / Condomï¿½nio fechado / Interfone / Seguranï¿½a 24h / Circuito de Seguranca ,Candelaria,apartment
Rua Pinto Martins  1044 - Areia Preta  Natal - RN,R$ 350000,R$ 1.450,1,2,2,129, Perto de vias de acesso / Proximo a shopping / Proximo a transporte pï¿½blico / Proximo a escola / Proximo a hospitais / Ar-condicionado / Varanda / Depï¿½sito / Cabeamento estruturado / TV a cabo / Garagem / Cozinha / Area de servico / Vista exterior / Sistema de alarme / Condomï¿½nio fechado / Interfone / Seguranï¿½a 24h / Circuito de Seguranca / Vigia / Churrasqueira / Elevador / Salao de festas ,Areia Preta,apartment
Rua Engenheiro Joï¿½o Hï¿½lio Alves Rocha  820 - Planalto  Natal - RN,R$ 140000,R$ 160,2,1,1,61, Perto de vias de acesso / Varanda / Area de servico / Sistema de alarme / Condomï¿½nio fechado / Interfone / Seguranï¿½a 24h / Circuito de Seguranca / Churrasqueira / Academia / Salao de festas / Espaco gourmet / Piscina / Playground / Quadra poliesportiva / Espaco teen ,Planalto,apartment
Avenida Amintas Barros  1420 - Lagoa Nova  Natal - RN,R$ 220000,R$ 300,2,2,1,56, Jardim / Churrasqueira / Quadra poliesportiva / Sistema de alarme / Condomï¿½nio fechado / Playground / Piscina / Interfone / Seguranï¿½a 24h / Salao de festas / Academia / Elevador / Garagem / Cozinha / Area de servico / Espaco teen / Gerador elï¿½trico / Recepï¿½ï¿½o / Circuito de Seguranca ,Lagoa Nova,apartment
Rua das ï¿½guias - Pitimbu  Natal - RN,R$ 210000,R$ 26.900,2,NotFound,1,56, Ar-condicionado / Garagem / Churrasqueira / Piscina / Varanda / Area de servico / Playground / Quadra poliesportiva / Academia / Salao de jogos ,Pitimbu,apartment
Rua Ana Espï¿½nola Navarro - Ernani Sï¿½tiro  Joï¿½o Pessoa - PB,R$ 121633,NotFound,1,1,1,44,NotFound,,apartment
Rua Sachet  325 - Ribeira  Natal - RN,R$ 2500000,R$ 2.800,4,5,5,358, Perto de vias de acesso / Proximo a transporte pï¿½blico / Proximo a escola / Proximo a hospitais / Ar-condicionado / Cabeamento estruturado / Conexï¿½o ï¿½ internet / TV a cabo / Garagem / Cozinha / Area de servico / Vista exterior / Sistema de alarme / Condomï¿½nio fechado / Interfone / Seguranï¿½a 24h / Circuito de Seguranca / Churrasqueira / Elevador / Jardim / Espaco gourmet / Academia / Salao de festas / Playground / Piscina / Espaco teen / Piscina para adulto / Piscina infantil / Salao de jogos / Salao de jogos / Recepï¿½ï¿½o / Vista para o mar / Varanda gourmet / Mais de um andar / Gerador elï¿½trico / Quadra poliesportiva ,Ribeira,apartment
Avenida Campos Sï¿½les  1111 - Tirol  Natal - RN,R$ 550000,R$ 650,3,3,2,96, Ar-condicionado / Playground / Elevador / Churrasqueira / Jardim / Perto de vias de acesso / Piscina / Salao de festas ,Tirol,apartment
Rua Jornalista Francisco Sinedino  379 - Lagoa Nova  Natal - RN,R$ 550000,R$ 550,3,4,2,116, Perto de vias de acesso / Proximo a shopping / Proximo a transporte pï¿½blico / Proximo a escola / Proximo a hospitais / Garagem / Lavanderia / Area de servico / Cozinha / Vista exterior / Condomï¿½nio fechado / Interfone / Seguranï¿½a 24h / Circuito de Seguranca / Churrasqueira / Elevador / Jardim / Espaco gourmet / Salao de festas / Playground / Piscina / Quadra poliesportiva / Espaco verde / Parque / Piscina para adulto / Piscina infantil / Recepï¿½ï¿½o / Mais de um andar ,Lagoa Nova,apartment
